,song,artist,genre,actual_lyrics
10,Mockingbird,Eminem,Hip-Hop,"['Yeah', 'I know sometimes', 'Things may not always make sense to you right now', 'But hey', 'What Daddy always tell you', 'Straighten up little soldier', 'Stiffen up that upper lip', ""What you cryin' about"", 'You got me', 'Hailie I know you miss your mom and I know you miss your dad', ""When I'm gone but I'm tryin' to give you the life that I never had"", ""Lainie Uncle's crazy ain't he Yeah but he loves you girl and you better know it"", ""Lookin' puzzled in a daze I know it's confusin' you"", ""Daddy's always on the move Mama's always on the news"", ""But things have got so bad between us I don't see us ever bein'Together ever again like we used to be when we was teenagers""]"
11,Bad and Boujee,Migos (Ft. Lil Uzi Vert),Rap,"['You know young rich niggas', ""You know somethin' we ain't really never had no old money"", 'We got a whole lotta new money though hah', ""If Young Metro don't trust you I'm gon' shoot you"", 'Raindrop Drip droptop Droptop', ""Smokin' on cookie in the hotbox Cookie"", ""Fuckin' on your bitch she a thot thot Thot"", ""Cookin' up dope in the crockpot Pot"", ""We came from nothin' to somethin' nigga Hey"", 'Cry me a river give you a tissue Hey', 'My bitch is bad and bougie Bad', ""Cookin' up dope with a Uzi Blaow"", 'My niggas is savage ruthless Savage', 'We got 30s and hundredrounds too Grrah', 'My bitch is bad and bougie Bad', ""Cookin' up dope with a Uzi Dope"", 'My niggas is savage ruthless Hey', 'We got 30s and hundredrounds too Glah', 'Offset woo woo woo woo woo', 'Rackaids on rackaids Racks got backends on backends', ""I'm ridin' around in a coupe Coupe"", ""I take your bih' right from you You"", ""Bitch I'm a dog roof Grr"", 'Beat the ho walls loose Hey', 'Hop in the frog whoo Skrrt', 'Yeah pull up in Ghosts Woo', ""Yeah my diamond's a choker Glah"", ""Holdin' the fire with no holster Blaow"", 'Rick the Ruler diamonds cooler Cooler', 'This a Rollie not a Muller Hey', ""Dabbin' on 'em like the usual Dab"", 'Magic with the brick do voodoo Magic', 'Courtside with a bad bitch Bitch', ""I'm young and rich and plus I'm bougie Hey"", ""I'm not stupid so I keep the Uzi Rrah"", 'Rackaids on rackaids got backends on backends', ""So my money makin' my back ache Aagh"", 'You niggas got a low Act rate Act', 'We from the Nawf yeah Dat Way Nawf', 'Fat Cookie blunt in the ashtray Cookie', 'I let them birds take a bath bae Brr']"
12,God’s Plan,Drake,Rap,"[""And they wishin' and wishin'And wishin' and wishin' they wishin' on me"", 'Yeah', ""I been movin' calm don't start no trouble with me"", 'Tryna keep it peaceful is a struggle for me', ""Don't pull up at 6 a.m. to cuddle with me"", ""You know how I like it when you lovin' on me"", ""I don't wanna die for them to miss me"", ""Yes I see the things that they wishin' on me"", 'Hope I got some brothers that outlive me', ""They gon' tell the story shit was different with me"", ""God's plan God's plan"", ""I hold back sometimes I won't yeah"", ""I feel good sometimes I don't Ayy don't"", ""I finessed down Weston Road Ayy 'nessed"", 'Might go down a GOD Yeah wait', 'I go hard on Southside G Yeah wait', 'I make sure that northside eat', 'And still', 'Bad things', ""It's a lot of bad things that they wishin' and wishin'And wishin' and wishin' they wishin' on me"", 'Bad things', ""It's a lot of bad things that they wishin' and wishin'And wishin' and wishin' they wishin' on me"", 'Yeah ayy ayy']"
13,Starboy,The Weeknd (Ft. Daft Punk),R&B,"[""I'm tryna put you in the worst mood ah"", 'P1 cleaner than your church shoes ah', 'Milli point two just to hurt you ah', ""All red Lamb' just to tease you ah"", 'None of these toys on lease too ah', 'Made your whole year in a week too yah', 'Main bitch outta your league too ah', 'Side bitch outta your league too ah', 'Pre', 'Chorus', 'House so empty need a centerpiece', 'Twenty racks a table cut from ebony', 'Cut that ivory into skinny pieces', 'Then she clean it with her face man I love my baby ah', ""You talkin' money need a hearin' aid"", ""You talkin' 'bout me I don't see the shade"", 'Switch up my style I take any lane', 'I switch up my cup I kill any pain', 'Hahahahaha hahahahaha', ""Look what you've done"", 'Hahahahaha hahahahaha', ""I'm a motherfuckin' starboy"", 'Hahahahaha hahahahaha', ""Look what you've done"", 'Hahahahaha hahahahaha', ""I'm a motherfuckin' starboy""]"
14,"thank u, next",Ariana Grande,R&B,"[""Thought I'd end up with Sean"", ""But he wasn't a match"", 'Wrote some songs about Ricky', 'Now I listen and laugh', 'Even almost got married', ""And for Pete I'm so thankful"", ""Wish I could say Thank you to Malcolm'Cause he was an angel"", 'One taught me love', 'One taught me patience', 'And one taught me pain', ""Now I'm so amazing"", ""Say I've loved and I've lost"", ""But that's not what I see"", 'So look what I got', 'Look what you taught me', 'And for that I say', 'Thank you next Next', 'Thank you next Next', 'Thank you next', ""I'm so fuckin' grateful for my ex"", 'Thank you next Next', 'Thank you next Next', 'Thank you next Next', ""I'm so fuckin""]"
15,XO Tour Llif3,Lil Uzi Vert,Rap,"['Are you alright', ""I'm alright I'm quite alright"", ""And my money's right"", '8 Yeah', ""Countin' them bands all way to the top 'til they be fallin' over Yeah yeah yeah"", ""Countin' them bands on my way to the top 'til it's fallin' over"", ""I don't really care if you cry"", ""On the real you should've never lied"", ""Should've saw the way she looked me in my eyes"", 'She said Baby I am not afraid to die', 'Push me to the edge', 'All my friends are dead push me to the edge', 'All my friends are dead push me to the edge', 'All my friends are dead push me to the edge', ""Phantom that's all red inside all white"", ""Like somethin' you ride a sled down I just want that head"", 'My bracelet Herms her bracelet Herms now', 'Everybody got the same swag now', 'Watch the way that I tear it down', ""Stackin' my bands all the way to the top"", ""All the way 'til my bands fallin' over"", 'Every time that you leave your spot', 'Your girlfriend call me like Come on over', ""I like the way that she treat me gon' leave you won't leave me I call it that Casanova"", ""She say I'm insane yeah I might blow my brain out Hey"", 'Xanny help the pain yeah', 'Please Xanny make it go away', ""I'm committed not addicted but it keep control of me"", ""All the pain now I can't feel it I swear that it's slowin' me yeah""]"
16,Drunk in Love,Beyoncé (Ft. JAY-Z),Rap,"[""I've been drinkin' I've been drinkin'I get filthy when that liquor get into me"", ""I've been thinkin' I've been thinkin'Why can't I keep my fingers off it"", 'Baby I want you nana', ""Why can't I keep my fingers off you"", 'Baby I want you nana', 'Cigars on ice cigars on ice', ""Feelin' like an animal with these cameras all in my grill"", ""Flashin' lights flashin' lights"", 'You got me faded faded faded', 'Baby I want you nana', ""Can't keep your eyes off my fatty"", 'Daddy I want you nana', 'Drunk in love I want you Ah', 'Pre', 'Chorus Beyonc', ""We woke up in the kitchen sayin' How the hell did this shit happen oh baby"", 'Drunk in love', 'we be all night', ""Last thing I remember is our beautiful bodies grindin' up in that club"", 'Drunk in love', 'Chorus Beyonc', 'We be all night', 'Love love', 'We be all night', 'Love love']"
17,The Real Slim Shady,Eminem,Rap,"['May I have your attention please', 'May I have your attention please', 'Will the real Slim Shady please stand up', 'I repeat', 'Will the real Slim Shady please stand up', ""We're gonna have a problem here"", ""Y'all act like you never seen a white person before"", ""It's the return of the"", ""Oh wait no way you're kidding"", ""He didn't just say what I think he did did he"", 'Feminist women love Eminem', 'Chickachickachicka Slim Shady', ""I'm sick of him"", ""Look at him walkin' around grabbin' his youknowwhat"", ""Flippin' the youknowwho Yeah but he's so cute though"", 'Yeah I probably got a couple of screws up in my head loose', ""But no worse than what's goin' on in your parents' bedrooms"", 'Sometimes I wanna get on TV and just let loose', ""But can't but it's cool for Tom Green to hump a dead moose"", 'My bum is on your lips my bum is on your lips', ""And if I'm lucky you might just give it a little kiss"", ""And that's the message that we deliver to little kids"", ""And expect them not to know what a woman's clitoris is"", ""Of course they're gonna know what intercourse is"", 'By the time they hit fourth grade', ""they've got the Discovery Channel don't they"", 'Well some of us cannibals who cut other people open like cantaloupes', 'But if we can hump dead animals and antelopes', ""Then there's no reason that a man and another man can't elope""]"
18,Work,Rihanna (Ft. Drake),R&B,"['Work work work work work work', 'He said me haffi work work work work work work', 'He see me do mi dirt dirt dirt dirt dirt dirt', 'Ah so me put in work work work work work work', 'When you ah guh learn learn learn learn learn learn', 'Me nuh cyar if him hurt hurt hurt hurt hurting', 'Dry me ah desert him', 'Nuh time to have you lurking', 'Him ah go act like he nuh like it', 'You know I dealt with you the nicest', 'Nuh badda text me in a crisis', 'I believed all of your dreams adoration', 'You took my heart and my keys and my patience', 'You took my heart on my sleeve for decoration', 'You mistaken my love I brought for you for foundation', 'All that I wanted from you was to give me', 'Something that I never had', ""Something that you've never seen"", ""Something that you've never been mm"", ""But I wake up and act like nothing's wrong"", 'Just get ready fi work work work work work work', 'He said me haffi work work work work work work', 'He see me do mi dirt dirt dirt dirt dirt dirt', 'Ah so me put in work work work work work work']"
19,Bodak Yellow,Cardi B,Rap,"['KSR', ""Said Lil' bitch you can't fuck with me if you wanted to"", 'These expensive these is red bottoms these is bloody shoes', ""Hit the store I can get 'em both I don't wanna choose"", ""And I'm quick cut a nigga off so don't get comfortable look"", ""I don't dance now I make money moves Ayy ayy"", ""Say I don't gotta dance I make money move"", ""If I see you and I don't speak that means I don't fuck with you"", ""I'm a boss you a worker bitch I make bloody moves"", ""You in the club just to party I'm there I get paid a fee"", 'Dropped two mixtapes in six months', 'What bitch working as hard as me', 'Look I might just chill in some BAPE', 'I might just chill with your boo I might just feel on your babe', ""I'll let him get what he want he buy me Yves Saint Laurent"", 'And the new whip when I go fast as a horse', 'I got the trunk in the front Vroom vroom', ""I'm the hottest in the street know you prolly heard of me"", ""Got a bag and fixed my teeth hope you hoes know it ain't cheap"", ""And I pay my mama bills I ain't got no time to chill"", 'Think these hoes be mad at me their baby father run a bill']"
20,SAD!,XXXTENTACION,R&B,"[""Who am I Someone that's afraid to let go uh"", ""You decide if you're ever gonna let me know Yeah"", ""Who am I Someone that's afraid to let go uh"", ""You decide if you're ever gonna let me know Yeah"", 'I gave her everything', 'She took my heart and left me lonely', ""I think broken heart's contagious"", ""I won't fix I'd rather weep"", ""I'm lost then I'm found"", ""But it's torture bein' in love"", ""I love when you're around"", ""But I fuckin' hate when you leave"", ""Who am I Someone that's afraid to let go uh"", ""You decide if you're ever gonna let me know Yeah"", ""Who am I Someone that's afraid to let go uh"", ""You decide if you're ever gonna let me know Yeah""]"
21,Shallow,Lady Gaga & Bradley Cooper,Soft Rock,"[""Tell me somethin' girl"", 'Are you happy in this modern world', 'Or do you need more', ""Is there somethin' else you're searchin' for"", ""I'm fallin'In all the good times I find myself longin'For change"", 'And in the bad times I fear myself', 'Tell me something boy', ""Aren't you tired tryna fill that void"", 'Or do you need more', ""Ain't it hard keepin' it so hardcore"", ""I'm off the deep end watch as I dive in"", ""I'll never meet the ground"", ""Crash through the surface where they can't hurt us"", ""We're far from the shallow now""]"
22,7 rings,Ariana Grande,Rap,"[""Yeah breakfast at Tiffany's and bottles of bubbles"", 'Girls with tattoos who like getting in trouble', 'Lashes and diamonds ATM machines', 'Buy myself all of my favorite things Yeah', 'Been through some bad shit I should be a sad bitch', ""Who woulda thought it'd turn me to a savage"", 'Rather be tied up with calls and not strings', 'Write my own checks like I write what I sing yeah Yeah', ""My wrist stop watchin' my neck is flossy"", 'Make big deposits my gloss is poppin', 'You like my hair Gee thanks just bought it', 'I see it I like it I want it I got it Yeah', 'I want it I got it I want it I got it', 'I want it I got it I want it I got it', 'You like my hair Gee thanks just bought it', 'I see it I like it I want it I got it Yep', ""Wearing a ring but ain't gon' be no Mrs."", 'Bought matching diamonds for six of my bitches', ""I'd rather spoil all my friends with my riches"", 'Think retail therapy my new addiction', ""They say Which one I say Nah I want all of 'em"", 'Happiness is the same price as redbottoms']"
23,Fuckin’ Problems,"A$AP Rocky (Ft. 2 Chainz, Drake & Kendrick Lamar)",Hip-Hop,"[""I love bad bitches that's my fuckin' problem Problem"", ""And yeah I like to fuck I got a fuckin' problem Problem"", ""I love bad bitches that's my fuckin' problem Problem"", ""And yeah I like to fuck I got a fuckin' problem Problem"", ""I love bad bitches that's my fuckin' problem Problem"", ""And yeah I like to fuck I got a fuckin' problem Problem"", ""If findin' somebody real is your fuckin' problem"", 'Bring your girls to the crib maybe we can solve it ayy', 'Make that thing pop like a semi or a nine', 'Ooh baby like it raw with the shimmy shimmy ya huh', 'AAP Yeah get like me Uh', 'Never met a motherfucker fresh like me Yeah', 'All these motherfuckers wanna dress like me Uh', ""Cause I'm the nigga the nigga nigga like how you figure Yeah"", ""Gettin' figures and fuckin' bitches"", ""she rollin' Swishers"", 'She love my licorice I let her lick it Alright', 'They say money make a nigga act niggarish Uh', 'But least a nigga nigga rich', ""I be fuckin' broads like I be fuckin' bored"", ""Turn a dyke bitch out have her fuckin' boys beast""]"
24,Too Good at Goodbyes,Sam Smith,R&B,"[""I'm never gonna let you close to me"", ""Even though you mean the most to me'Cause every time I open up it hurts"", ""So I'm never gonna get too close to you"", 'Even when I mean the most to you', 'In case you go and leave me in the dirt', 'But every time you hurt me the less that I cry', 'And every time you leave me the quicker these tears dry', 'And every time you walk out the less I love you', ""Baby we don't stand a chance it's sad but it's true"", ""I'm way too good at goodbyes I'm way too good at goodbyes"", ""I'm way too good at goodbyes I'm way too good at goodbyes""]"
25,Believer,Imagine Dragons,Rock,"[""First things first I'ma say all the words inside my head"", ""I'm fired up and tired of the way that things have been ohooh"", 'The way that things have been ohooh', ""Second things second don't you tell me what you think that I could be"", ""I'm the one at the sail I'm the master of my sea ohooh"", 'The master of my sea ohooh', ""I was broken from a young age taking my sulkin' to the masses"", ""Writing my poems for the few that look at me took to me shook at me feelin' me"", 'Singing from heartache from the pain taking my message from the veins', 'Speaking my lesson from the brain seeing the beauty through the', 'Pain You made me a you made me a believer believer', 'Pain You break me down you build me up believer believer', 'Pain Oh let the bullets fly oh let them rain', 'My life my love my drive it came from', 'Pain You made me a you made me a believer believer', 'Third things third send a prayer to the ones up above', ""All the hate that you've heard has turned your spirit to a dove ohooh"", 'Your spirit up above ohooh']"
26,In My Feelings,Drake,R&B,"['Kiki do you love me Are you riding', ""Say you'll never ever leave from beside me'Cause I want ya and I need ya"", ""And I'm down for you always"", 'KB do you love me Are you riding', ""Say you'll never ever leave from beside me'Cause I want ya and I need ya"", ""And I'm down for you always"", 'Look the new me is really still the real me', 'I buy you Champagne but you love some Henny', 'From the block like you Jenny']"
27,Stan,Eminem (Ft. Dido),Hip-Hop,"[""My tea's gone cold I'm wondering why IGot out of bed at all"", 'The morning rain clouds up my window Window', ""And I can't see at all"", 'Chorus Dido', ""My tea's gone cold I'm wondering why IGot out of bed at all"", 'The morning rain clouds up my window Window', ""And I can't see at all"", ""Dear Slim I wrote you but you still ain't callin'I left my cell my pager and my home phone at the bottom"", ""I sent two letters back in autumn you must not've got 'em"", ""There prob'ly was a problem at the post office or somethin'Sometimes I scribble addresses too sloppy when I jot 'em"", ""But anyways fuck it what's been up man How's your daughter"", ""My girlfriend's pregnant too I'm 'bout to be a father"", ""If I have a daughter guess what I'ma call her I'ma name her Bonnie"", ""I read about your Uncle Ronnie too I'm sorry"", ""I had a friend kill himself over some bitch who didn't want him"", ""I know you prob'ly hear this every day but I'm your biggest fan"", 'I even got the underground shit that you did with Skam', 'I got a room full of your posters and your pictures man', 'I like the shit you did with Rawkus too that shit was phat', 'Anyways I hope you get this man hit me back', 'Just to chat truly yours your biggest fan this is Stan']"
28,m.A.A.d city,Kendrick Lamar (Ft. MC Eiht),Rap,"['Refrain Kendrick Lamar  Sc', 'Hoolboy Q', 'If Pirus and Crips all got along', ""They'd probably gun me down by the end of this song"", 'Seem like the whole city go against me', ""Every time I'm in the street I hear"", 'Yawk yawk yawk yawk', 'Man down where you from nigga', 'Fuck who you knowwhere you from my nigga', 'Where your grandma stay huh my nigga', 'This m.A.A.d city I run my nigga', ""Brace yourself I'll take you on a trip down memory lane"", ""This is not a rap on how I'm slingin' crack or move cocaine"", 'This is culdesac and plenty Cognac and major pain', ""Not the drill sergeant but the stress that weighin' on your brain"", 'It was me L Boog and Yan Yan YG Lucky ride down Rosecrans', ""It got ugly wavin' yo' hand out the window  check yourself"", 'Uh Warriors and Conans', 'the driver seat the first one to get killed', 'Pakistan on every porch is fine', 'we adapt to crime', 'Pack a van with four guns at a time', 'With the sliding door fuck is up', ""Fuck you shootin' for if you ain't walkin' up you fuckin' punk"", ""Pickin' up the fuckin' pump pickin' off you suckers"", 'Suck a dick or die or sucker punch', ""A wall of bullets comin' from AK's AR's"", ""Ayy y'all duck"", ""That's what mama said when we was eatin' that free lunch"", 'Aw man goddamn all hell broke loose', ""You killed my cousin back in '94 fuck yo' truce"", 'Now crawl your head in that noose', 'You wind up dead on the news', ""Ain't no peace treaty just piecin' BGs up to preapprove"", 'Bodies on top of bodies IVs on top of IVs', 'Obviously the coroner between the sheets like the Isleys', ""When you hop on that trolley make sure your color's correct"", ""Make sure you're corporate or they'll be callin' your mother collect"", 'They say the governor collect all of our taxes except', ""When we in traffic and tragic happens that shit ain't no threat"", ""You movin' backwards if you suggest that you sleep with a TEC"", 'Go buy a chopper and have a doctor on speed dial I guess', 'm.A.A.d. city']"
29,Trap Queen,Fetty Wap,Rap,"['RGF productions', 'Remy Boyz yahah1738 ayy', 'Married to the money introduced her to my stove', ""Showed her how to whip it now she remixin' for low"", 'She my trap queen let her hit the bando', ""We be countin' up watch how far them bands go"", ""We just set a goal talkin' matchin' Lambos"", 'At 56 a gram 5 a hundred grams though', 'Man I swear I love her how she work the damn pole', ""Hit the strip club we be lettin' bands go"", ""Everybody hatin' we just call them fans though"", ""In love with the money I ain't never lettin' go""]"
